ID,Finding Name,Category,Severity,Detection,Customer Explanation,Fix Prompt — Lovable,Fix Prompt — Bolt,Fix Prompt — Generic,Notes
FL-017,Mobile layout overflow / horizontal scroll,Mobile & responsive,High,"manual: Open in 375px viewport, look for document.body.scrollWidth > window.innerWidth","On mobile, your page scrolls sideways because something is wider than the screen. This makes the site feel broken on phones.",,,"On mobile devices, {PAGE} has horizontal scrolling — something is wider than the viewport. Find what's overflowing (often a wide image, table, or container with fixed width) and make it responsive. Don't break the desktop layout.",
FL-018,Text too small on mobile,Mobile & responsive,Medium,"manual: Body text rendering under ~14px on mobile","Body text on mobile is too small to read comfortably (currently {SIZE}px). Most apps use at least 16px for body text on mobile.",,,"On mobile, increase the body text to at least 16px. Currently it's rendering at {SIZE}px which is hard to read on phones.",
FL-019,Tap targets too small,Mobile & responsive,Medium,"manual: Buttons/links smaller than 44×44px on mobile","Some buttons are too small to tap easily on mobile (under 44×44 pixels). Apple and Google both recommend 44px as a minimum.",,,"On mobile, increase tap target sizes for {LIST_OF_ELEMENTS} to at least 44×44 pixels. Either add padding or increase the button size directly.",
FL-020,Logged-out access to protected pages,Authentication & permissions,Critical,"http: Try GET /dashboard, /admin, /settings etc. without auth","Users who aren't logged in can access {PROTECTED_ROUTES}. This may expose data they shouldn't see.","These routes load content even when no user is signed in: {LIST}. Add authentication checks so that visiting these routes while logged out redirects to /login or shows an empty/error state. Use Supabase auth state to verify.","Add auth guards to these routes: {LIST}. Verify the user has an active session before rendering content. Redirect unauthenticated users to /login.",,
FL-021,Cross-user data visible,Authentication & permissions,Critical,"manual: Sign in as User A then User B, compare what each can see","User A can see User B's data (specifically: {EXAMPLE}). This means anyone who signs up can see other users' information.","User A can see User B's {DATA_TYPE} on the {PAGE} page. This means Supabase queries aren't filtering by user. Add row-level security policies on the {TABLE_NAME} table that restrict reads to auth.uid() = user_id. Also update the query in the page component to filter by current user.",,,"Cornerstone Critical finding. Requires two-account intake (Launch Pack+)."
FL-022,Signup confirmation email never arrives,Authentication & permissions,Critical,"manual: Sign up with fresh email, wait 5+ minutes","When new users sign up, the confirmation email never arrives. They can't complete signup.",,,"When users sign up, they should receive a confirmation email but none arrives. Check the email provider configuration (Resend, SendGrid, or Supabase's built-in email), verify the sender domain is set up, and ensure the signup flow actually triggers the email send.",
FL-023,Default meta description (platform default),Sharing & meta,Medium,"manual: Check <meta name=description> against known platform defaults","When your link is shared on social media, it shows the platform's default description instead of one about your actual app.",,,"Update the meta description to describe my actual app: {ONE_LINE_DESCRIPTION}. Also set Open Graph tags (og:title, og:description, og:image) so the link previews well when shared on Twitter, LinkedIn, Slack, etc.",
FL-024,No favicon (showing default platform icon),Sharing & meta,Medium,"manual: Check <link rel=icon> — verify it's custom","Your site uses the default browser icon (or the platform's). It should have your own favicon so users recognize tabs.",,,"Add a custom favicon. I'll provide an image (or generate a simple one based on the app name '{ACTUAL_NAME}'). Update the <link rel='icon'> tag and add the necessary icon files.",
FL-025,Page title is generic ('My App' or platform default),Sharing & meta,Medium,"manual: Check <title> tag and per-page title overrides","Your page titles in browser tabs are generic. Users won't see your app name in their tab list.",,,"Update page titles so each page has a meaningful title with the app name. Format: 'Page Name | {ACTUAL_NAME}'. Update both the default <title> and any per-page overrides.",
FL-026,No empty states (blank dashboards for new users),User experience,Medium,"manual: Sign in with brand-new account, observe dashboard/main pages","When a new user signs in for the first time, the dashboard is completely empty with no instructions. They won't know what to do.",,,"When a user has no {ITEMS} yet, the {PAGE} page shows nothing. Add a friendly empty state with: an icon or illustration, a short message ('No {ITEMS} yet'), and a clear CTA button to create the first one.",
FL-027,No loading states,User experience,Low,"manual: Slow network throttle in DevTools, observe page during data fetch","While data is loading, the page shows nothing — users see a blank screen and may think it's broken.",,,"Add loading states (skeleton screens, spinners, or 'Loading...' text) to {LIST_OF_PAGES} so users see something is happening while data loads.",
FL-028,Error states swallow errors silently,User experience,Medium,"manual: Force errors (disconnect network, submit invalid data) and observe UI","When something goes wrong, users get no feedback — the action just silently fails.",,,"When operations fail (network errors, validation errors, server errors), show users a clear error message instead of failing silently. Use a toast notification or inline error text. Be specific about what went wrong when possible.",
FL-029,No 'back' or navigation context,User experience,Low,"manual: Navigate deep into the app, observe whether back/breadcrumb is clear","When users navigate deep into the app, there's no clear way back to where they came from.",,,"Add either a back button or breadcrumb navigation on deeper pages so users can navigate back to where they were.",
FL-030,Massive unoptimized images,Performance & polish,Medium,"http: Check Network tab for >1MB images","Some images on your site are very large (e.g., {SIZE}MB) and slow down page loads.",,,"These images are oversized: {LIST_WITH_SIZES}. Compress them and use modern formats (WebP). Aim for under 200KB per image for hero/featured images and under 50KB for thumbnails.",
FL-031,Render-blocking resources,Performance & polish,Low,"manual: Lighthouse / WebPageTest","Some scripts and stylesheets are blocking the page from rendering quickly. Users see a blank page for longer than necessary.",,,"Defer non-critical JavaScript with the defer or async attributes. Inline critical CSS for above-the-fold content. The goal is for users to see content within 1.5 seconds on a typical connection.",
FL-032,No 404 page,Performance & polish,Low,"http: Visit /nonexistent-route-12345","When users hit a URL that doesn't exist, they get a generic browser error instead of a friendly 404 page.",,,"Add a custom 404 page that shows when users visit URLs that don't exist. Include: a clear 'Page not found' message, a link back to home, and optionally a search or sitemap. Style it consistently with the rest of the site.",
FL-033,Inconsistent terminology (customer/client/user),Performance & polish,Medium,"manual: Manual scan for multiple terms referring to the same entity","Your app uses ""customer,"" ""client,"" and ""user"" interchangeably to refer to the same thing. Pick one and use it consistently — it makes the app feel more thought-through.",,,"The app uses 'customer,' 'client,' and 'user' to refer to the same role. Pick {PREFERRED_TERM} and replace the others everywhere in the UI. Don't change database table or column names — only user-facing labels.","Light-touch preview of the v1 Brand Tokens feature."
FL-034,Capitalization inconsistency on UI labels,Performance & polish,Low,"manual: Manual scan of buttons, headers, nav items","Buttons and labels use inconsistent capitalization — some use Title Case, some use sentence case, some are ALL CAPS.",,,"Standardize capitalization across all UI elements. Use sentence case for buttons ('Save changes', not 'Save Changes' or 'SAVE CHANGES') and title case for page headings. Apply this consistently throughout the app.",
FL-035,Default Lovable / Bolt / Base44 branding still showing,Performance & polish,High,"manual: Search for 'Built with Lovable' or platform branding","Your site still shows ""Built with Lovable"" or similar platform branding. If you're on a paid plan, you can remove this.","Remove the 'Built with Lovable' badge from the site. This is in the project settings under branding. (Note: requires a paid Lovable plan.)",,,"Bolt/Base44 equivalents to be added when first observed."
